SO_N_HM [1/min],SO_M_VM [Nm],speed_step,N_HM [1/min],M_HMmess [Nm],PA1_P_1 [W],PA1_P_2 [W],PA1_P_4 [W],PA1_PM [W],Eff_Sys_WT [%],Eff_Motor_PA [%],Eff_DCtoAC_WT [%],T_MOTOR [°C],T_Rotor [°C],motor_loss [kW],motor_eff_motor_ge_80%,motor_eff_generator_eff_ge_80%,motor_eff_motor_eff_interval,motor_eff_motor_eff_interval_value,motor_eff_generator_eff_interval,motor_eff_generator_eff_interval_value,peu_eff_motor_ge_80%,peu_eff_generator_eff_ge_80%,peu_eff_motor_eff_interval,peu_eff_motor_eff_interval_value,peu_eff_generator_eff_interval,peu_eff_generator_eff_interval_value,sys_eff_motor_ge_80%,sys_eff_generator_eff_ge_80%,sys_eff_motor_eff_interval,sys_eff_motor_eff_interval_value,sys_eff_generator_eff_interval,sys_eff_generator_eff_interval_value,motor_motor_eff [%],peu_motor_eff [%],sys_motor_eff [%],motor_motor_speed [rpm],motor_motor_torque [Nm],motor_motor_loss [kW],motor_generator_eff [%],peu_generator_eff [%],sys_generator_eff [%],motor_generator_speed [rpm],motor_generator_torque [Nm],motor_generator_loss [kW],motor_motor_loss_max [kW],motor_generator_loss_max [kW],motor_max_eff [%],motor_max_eff_operator,generator_max_eff [%],generator_max_eff_operator
500.0,-105.0,68.0,500.0258859,-105.13245,-1636.596135,-3138.35413,-3826.591154,-5504.601722312822,69.51622200910502,86.74470026859183,80.1388693417103,61.0,,0.7296514573128215,,,,,,,,,,,,,,,,,,,78.19202187805459,84.68485820882509,66.21680285804402,500.0,287.222133,4.194072469773748,85.50508524936261,77.79230318110744,66.51637515244855,500.0,-140.0194804,1.0626253879367642,,,,,,
500.0,-100.0,62.0,500.0177295,-100.2109098,-1608.028157,-3017.833688,-3665.951427,-5246.830532913643,69.86982720336201,88.16488003532278,79.24904698488676,61.43,,0.6209686879136425,,,,,,,,,,,,,,,,,,,78.46192037447317,84.77873148267079,66.51902079042159,500.0,282.3197121,4.057579706990334,92.85186163204014,80.75181696689488,74.97956535545954,500.0,-40.82070765,0.15276513152358848,,,,,,
500.0,-95.0,56.0,500.0216525,-95.25399807,-1534.139499,-2839.948585,-3507.869227,-4987.336285046409,70.33552635136489,87.703893100509,80.19658405671923,61.0,,0.6132482010464091,,,,,,,,,,,,,,,,,,,78.69901046525113,84.88345443509566,66.8024386891426,500.0,277.4803955,3.932313610760662,92.47423797076291,80.72917536583341,74.65368973963533,500.0,-45.81933081,0.18053301310331563,,,,,,
500.0,-90.0,52.0,499.9989009,-90.27158123,-1494.945881,-2715.129109,-3341.35649,-4726.250408115713,70.69783023477486,89.07854274438445,79.36572383951764,62.0,,0.516175418115713,,,,,,,,,,,,,,,,,,,78.9210745528252,85.10128031699354,67.16284488438322,500.0,272.2218423,3.8067362706684524,91.59234249789314,81.13247734335938,74.31113652535531,500.0,-50.92904949,0.22419983943911848,,,,,,
500.0,-85.0,48.0,499.9859773,-85.45396503,-1449.146726,-2530.968923,-3189.945775,-4473.904106773253,71.30116557864062,88.96291815853444,80.14706245537039,59.0,,0.4937884577732534,,,,,,,,,,,,,,,,,,,79.55885025248784,84.79813566565501,67.46442177113995,500.0,267.3607179,3.5967038259273303,91.3643787671087,80.40106364994452,73.45793232591944,500.0,-60.74306944,0.27463623427482114,,,,,,
500.0,-80.0,44.0,499.9710246,-80.43448978,-1388.911683,-2390.926145,-3020.675428,-4210.9857872758985,71.73321356551254,89.76135325417924,79.91547694516592,59.0,,0.4311479592758988,,,,,,,,,,,,,,,,,,,79.76934916289603,84.96132623149892,67.77309697503155,500.0,262.3477025,3.4834103521932285,91.43756757951809,79.87014094750023,73.03131410472687,500.0,-65.63951855,0.2942691267278624,,,,,,
500.0,-75.0,40.0,499.9945319,-75.57749008,-1336.429246,-2233.651943,-2854.141493,-3956.893379552512,72.1308667994177,90.22434638872535,79.94612284432282,59.0,,0.3868121905525127,,,,,,,,,,,,,,,,,,,79.73057353969737,85.38367051352715,68.07689020968067,500.0,257.2600925,3.424266692550662,91.67663926319794,80.57569477090559,73.86908902893856,500.0,-55.79026693,0.2431312301061239,,,,,,
500.0,-70.0,36.0,499.97888150000006,-70.54655575,-1273.983073,-2059.776888,-2681.914427,-3693.3809463416114,72.61407544912217,90.26309523533375,80.44713651775723,59.0,,0.3596209853416117,,,,,,,,,,,,,,,,,,,80.46322445137258,85.0569474710679,68.43956255513145,500.0,252.0729587,3.204442138429218,90.22434638872535,79.94612284432282,72.1308667994177,500.0,-75.57749008,0.3868121905525127,,,,,,
500.0,-65.0,32.0,500.01787289999993,-65.63951855,-1228.411673,-1914.066053,-2509.901389,-3436.7468527278625,73.03131410472687,91.43756757951809,79.87014094750023,59.0,,0.2942691267278624,,,,,,,,,,,,,,,,,,,80.53540484623763,85.28743863857238,68.68658399056076,500.0,246.8648278,3.1236902029482643,85.90051691131345,77.90564493975238,66.92135170633978,500.0,-135.1022676,0.9973355584588353,,,,,,
500.0,-60.0,28.0,500.00101730000006,-60.74306944,-1155.30042,-1750.335232,-2336.16197,-3180.271886274821,73.45793232591944,91.3643787671087,80.40106364994452,59.0,,0.27463623427482114,,,,,,,,,,,,,,,,,,,80.97502878738862,85.1723294182473,68.96831826531522,500.0,242.0286685,2.9770531885730507,85.77266577728551,78.55270060515382,67.37674534909033,500.0,-130.1626204,0.9695388394452584,,,,,,
